CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
05/18/2016,17:00,BROOKLYN,11230,40.623722,-73.97463,"(40.623722, -73.97463)",AVENUE J                        ,EAST 2 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3449924,4 dr sedan,4 dr sedan,,,
05/18/2016,8:30,BRONX,10460,40.834915,-73.894135,"(40.834915, -73.894135)",BOSTON ROAD                     ,WILKENS AVENUE,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3444351,4 dr sedan,4 dr sedan,,,
05/18/2016,10:50,MANHATTAN,10001,40.75219,-73.99347,"(40.75219, -73.99347)",8 AVENUE                        ,WEST 34 STREET,,0,0,0,0,0,0,0,0,Passing Too Closely,Passenger Distraction,,,,3447937,Box Truck,4 dr sedan,,,
05/18/2016,14:30,MANHATTAN,10036,40.759727,-73.99169,"(40.759727, -73.99169)",9 AVENUE                        ,WEST 44 STREET,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,3447943,Station Wagon/Sport Utility Vehicle,,,,
05/18/2016,20:50,BRONX,10462,,,,CROSS BRONX EXPRESSWAY          ,CASTLE HILL AVENUE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3449028,Station Wagon/Sport Utility Vehicle,4 dr sedan,,,
05/18/2016,14:55,BROOKLYN,11230,40.617905,-73.960976,"(40.617905, -73.960976)",AVENUE M                        ,EAST 14 STREET,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,Unspecified,,,3450219,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,,
05/18/2016,16:20,,,40.65605,-73.92361,"(40.65605, -73.92361)",REMSEN AVENUE                   ,LENOX ROAD,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3449988,4 dr sedan,Station Wagon/Sport Utility Vehicle,,,
05/18/2016,12:25,BRONX,10459,40.82014,-73.90068,"(40.82014, -73.90068)",,,864       WESTCHESTER AVENUE            ,1,0,0,0,0,0,1,0,Turning Improperly,Unspecified,,,,3444678,Taxi,Sedan,,,
05/18/2016,9:58,BROOKLYN,11220,40.63504,-74.02265,"(40.63504, -74.02265)",,,412       68 STREET                     ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3444426,Van,Van,,,
05/18/2016,14:45,BROOKLYN,11230,40.626568,-73.970924,"(40.626568, -73.970924)",AVENUE I                        ,OCEAN PARKWAY,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3449922,4 dr sedan,4 dr sedan,,,
05/18/2016,16:00,,,,,,CONNER STREET                   ,TILLOTSON AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3449172,Station Wagon/Sport Utility Vehicle,,,,
05/18/2016,17:05,BROOKLYN,11225,40.66976,-73.94893,"(40.66976, -73.94893)",,,594       EASTERN PARKWAY               ,0,0,0,0,0,0,0,0,Following Too Closely,Following Too Closely,,,,3444736,Station Wagon/Sport Utility Vehicle,4 dr sedan,,,
05/18/2016,16:40,QUEENS,11435,40.715702,-73.81101,"(40.715702, -73.81101)",,,147-80    GRAND CENTRAL PARKWAY         ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3444537,Station Wagon/Sport Utility Vehicle,4 dr sedan,,,
05/18/2016,11:15,QUEENS,11421,40.6941,-73.850975,"(40.6941, -73.850975)",,,94-11     JAMAICA AVENUE                ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3444106,Station Wagon/Sport Utility Vehicle,4 dr sedan,,,
05/18/2016,13:15,,,,,,VERRAZANO BRIDGE                ,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3444854,Carry All,4 dr sedan,,,
05/18/2016,19:00,BROOKLYN,11226,40.655994,-73.954346,"(40.655994, -73.954346)",,,576       PARKSIDE AVENUE               ,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,3444737,4 dr sedan,2 dr sedan,,,
05/18/2016,14:25,MANHATTAN,10026,40.79797,-73.95,"(40.79797, -73.95)",,,32        WEST 111 STREET               ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3444661,2 dr sedan,,,,
05/18/2016,13:30,QUEENS,11367,40.727882,-73.83328,"(40.727882, -73.83328)",JEWEL AVENUE                    ,VANWYCK EXPRESSWAY,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3452041,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
